Country,iso3,State,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Status,Comment,Source,,
United States of America,USA,Illinois,Illinois,3/26/20,Social distancing,Closure of educational institutions,Complete closure of all educational institutions,"Kindergartens, primary and secondary schools, universities",,measures to encourage the closure of the schools.,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-15.aspx,,
United States of America,USA,Illinois,Illinois,4/1/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Government support the obtention of unemployment benefits,,"the provision of the Unemployment Insurance Act, requiring a one-week waiting period for unemployment insurance claims is suspended for claimants who are unemployed and who are otherwise eligible for unemployment insurance benefits",https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-18.aspx,,
United States of America,USA,Illinois,Illinois,4/1/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,,,cancelling or postponing elective surgeries and procedures,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-19.aspx,,
United States of America,USA,Illinois,Illinois,4/1/20,Healthcare and public health capacity,Increase availability of PPE,PPE for healthcare professionals,,,"In addition, for Health Care Facilities, “rendering assistance” in support of the State’s response must include measures such as increasing the number of beds, preserving personal protective equipment, or taking necessary steps to prepare to treat patients with COVID-19.",https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-19.aspx,,
United States of America,USA,Illinois,Illinois,4/1/20,Healthcare and public health capacity,Increase patient capacity,Beds,,,"In addition, for Health Care Facilities, “rendering assistance” in support of the State’s response must include measures such as increasing the number of beds, preserving personal protective equipment, or taking necessary steps to prepare to treat patients with COVID-19.",https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-19.aspx,,
United States of America,USA,Indiana,Indiana,3/6/20,Resource allocation,Activate or establish emergency response,Declare state of emergency,,,public health disaster emergency,https://www.in.gov/gov/files/Executive%20Order%2020-17%20Renewal%20of%20Public%20Health%20Emergency%20declaration%20of%20Covid-19.pdf,,
United States of America,USA,Indiana,Indiana,3/8/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Government support the obtention of unemployment benefits,,Suspension of the one week waiting period before paying unemployment benefits,https://www.in.gov/gov/files/EO_20-12_Further_Directives_Helping_Hoosiers.pdf,,
United States of America,USA,Indiana,Indiana,3/13/20,Resource allocation,Measures to ensure security of supply,Increase delivery capacity for food products,Ease hour restrictions for motor carriers and drivers who deliver food,,"motor carriers and drivers of commercial vehicles traveling in or through the State of Indiana and who are delivering food, goods and items to Indiana businesses and entities are exempt from regulations restricting their hours of service",https://www.in.gov/gov/files/Executive%20Order%2020-03%20(Waiver%20of%20Motor%20Carrier%20Hours%20due%20to%20Public%20Health%20Emergency).pdf,,
United States of America,USA,Indiana,Indiana,3/16/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,,,applies to hospitals and ambulatory surgical centers but physicians should continue to perform critical procedures necessary to prevent short-term and long-term adverse effects to their patients' overall health,https://www.in.gov/gov/files/ExecutiveOrder20-04FurtherOrdersforPublicHealthEmergency.pdf,,
United States of America,USA,Indiana,Indiana,3/16/20,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Partial,,only off-premises consumption,https://www.in.gov/gov/files/ExecutiveOrder20-04FurtherOrdersforPublicHealthEmergency.pdf,,
United States of America,USA,Indiana,Indiana,3/16/20,Social distancing,Mass gathering cancellation,Limit up to 50 persons,,,,https://www.in.gov/gov/files/ExecutiveOrder20-04FurtherOrdersforPublicHealthEmergency.pdf,,
United States of America,USA,Indiana,Indiana,3/16/20,Resource allocation,Police and army interventions,To collect data and samples for tests,Testing,,Indiana National Guards. The Indiana National Guard helped the Indiana State Department of Health and local agencies test for COVID-19 at new study test sites across the state April 25-29.,https://www.in.gov/gov/files/ExecutiveOrder20-04FurtherOrdersforPublicHealthEmergency.pdf --- https://www.nationalguard.mil/News/Article/2171067/indiana-national-guard-helps-collect-covid-19-data/,,
United States of America,USA,Indiana,Indiana,3/19/20,Social distancing,Special measures for certain establishments,Decongestion of administrative institutions,Extension of driving licence,,extension of deadlines for renewals of driver's licenses,https://www.in.gov/gov/files/EO_20-05.pdf,,
United States of America,USA,Indiana,Indiana,3/19/20,Social distancing,Closure of educational institutions,Complete closure of kindergartens,,,"All K-12 schools in Indiana, public or private, shall close and cease in-person instruction",https://www.in.gov/gov/files/EO_20-05.pdf,,
United States of America,USA,Indiana,Indiana,3/19/20,Social distancing,Closure of educational institutions,Complete closure of primary and secondary schools,,,"All K-12 schools in Indiana, public or private, shall close and cease in-person instruction",https://www.in.gov/gov/files/EO_20-05.pdf,,
United States of America,USA,Indiana,Indiana,3/19/20,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Extension of health insurance,,measures to extend health insurance,https://www.in.gov/gov/files/EO_20-05.pdf,,
United States of America,USA,Indiana,Indiana,3/19/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Government support the obtention of unemployment benefits,,Measures to help employees and unemployed people,https://www.in.gov/gov/files/EO_20-05.pdf,,
United States of America,USA,Indiana,Indiana,3/19/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Measures to protect renters and house owners,,Order to protect renters and homeowners,https://www.in.gov/gov/files/EO_20-06.pdf,,
United States of America,USA,Indiana,Indiana,3/20/20,Travel restriction,National lockdown,Stay-at-home Order,,,"with exceptions as outlined below, all individuals living in the State of Indiana are ordered to stay at home or their place of residence, except as allowed in this Executive Order",https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/20/20,Social distancing,Mass gathering cancellation,Measures for elections,Elections postponed,,rescheduling of the primary elections,https://www.in.gov/gov/files/EO_20-07_Rescheduling_Primary.pdf,,
United States of America,USA,Indiana,Indiana,3/23/20,Social distancing,Mass gathering cancellation,Closure of non-essential working places,Access to government buildings restricted to services essential to public health and safety,,"For a period of two weeks, beginning at 5:00 p.m. today, March 23, 2020, and continuing until 8:00 a.m. on April 7, 2020, access to all state government buildings, offices and facilities by the public will be restricted to only those members of the public needing to conduct services essential to public health and safety and which cannot otherwise be conducted electronically, telephonically and/ or delayed notwithstanding Ind. Code § 4-1-2-1 which provides for state offices to be open.",https://www.in.gov/gov/files/Executive_Order_20-09_Continuity_of_Government_Operations.pdf,,
United States of America,USA,Indiana,Indiana,3/23/20,Social distancing,Special measures for certain establishments,Decongestion of administrative institutions,Extension of driving licence,,access to all state government buildings restricted and deadline for expiration of licenses prolonged,https://www.in.gov/gov/files/Executive_Order_20-09_Continuity_of_Government_Operations.pdf,,
United States of America,USA,Indiana,Indiana,3/23/20,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Partial,,forbidden the sales of alcoholic beverages for on-premises consumption,https://www.in.gov/gov/files/Executive_Order_20-10_Enforcement_of%20In_Person%20Dining_Prohibition.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Mass gathering cancellation,Outdoor activities,,,,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Risk communication,Educate and actively communicate with the public,Encourage stay at home,Recommend vulnerable populations to stay at home: elderly and with chronic health conditions,,"People at high risk of severe illness from COVID-19, including elderly people and those who are sick, are urged to stay in their residence to the extent possible",https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Mass gathering cancellation,Indoor activities,,,,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",,,,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Mass gathering cancellation,"Conferences, meetings, trade fairs, etc.",,,,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Small gathering cancellation,Limit up to 10 persons,,,Any gathering of more than 10 people is prohibited,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,,,"All businesses and operations in the State o Indiana, except for Essential Busmesses and Operations are hereby required to cease all activities",https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Small gathering cancellation,Mandatory home office,,,"businesses (which includes home-based businesses) may also continue operations consisting exclusively of employees or contractors performing activities at their own homes or residences (i.e., working from home)",https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Mass gathering cancellation,Closure of non-essential working places,,,"All businesses and operations in the State o Indiana, except for Essential Busmesses and Operations are hereby required to cease all activities",https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Social distancing,Small gathering cancellation,Limit up to 10 persons,In essential businesses,,"""For purposes of this Executive Order, the phrase 'Social Distancing Requirements"" shall include maintaining at least six-feet of social distancing from other individuals, washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer, covering coughs or sneezes (into the sleeve or elbow, not hands), regularly cleaning high-touch surfaces, and not shaking hands. Essential Businesses and Operations and Minimum Basic Operations must take proactive measures to ensure compliance ith the Social Distancing Requirmeents.",https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/25/20,Risk communication,Actively communicate with healthcare professionals,Encourage hand hygiene,Washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer,,"""For purposes of this Executive Order, the phrase 'Social Distancing Requirements"" shall include maintaining at least six-feet of social distancing from other individuals, washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer, covering coughs or sneezes (into the sleeve or elbow, not hands), regularly cleaning high-touch surfaces, and not shaking hands. Essential Businesses and Operations and Minimum Basic Operations must take proactive measures to ensure compliance ith the Social Distancing Requirmeents.",,,
United States of America,USA,Indiana,Indiana,3/25/20,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Advice campaign for sneezing/coughing in the elbow,,"""For purposes of this Executive Order, the phrase 'Social Distancing Requirements"" shall include maintaining at least six-feet of social distancing from other individuals, washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer, covering coughs or sneezes (into the sleeve or elbow, not hands), regularly cleaning high-touch surfaces, and not shaking hands. Essential Businesses and Operations and Minimum Basic Operations must take proactive measures to ensure compliance ith the Social Distancing Requirmeents.",,,
United States of America,USA,Indiana,Indiana,3/25/20,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,Encourage to not shake hands,,"""For purposes of this Executive Order, the phrase 'Social Distancing Requirements"" shall include maintaining at least six-feet of social distancing from other individuals, washing hands with soap and water for at least twenty seconds as frequently as possible or using hand sanitizer, covering coughs or sneezes (into the sleeve or elbow, not hands), regularly cleaning high-touch surfaces, and not shaking hands. Essential Businesses and Operations and Minimum Basic Operations must take proactive measures to ensure compliance ith the Social Distancing Requirmeents.",https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
United States of America,USA,Indiana,Indiana,3/26/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Tax relief measures,,suspension of the deadline for submitting property tax exemptions,https://www.in.gov/gov/files/EO_20-12_Further_Directives_Helping_Hoosiers.pdf,,
United States of America,USA,Indiana,Indiana,3/26/20,Healthcare and public health capacity,Adapt procedures for patient management,Ease prescription of regular medical products for patients,Ease prescription renewal,,"lowered the ratio of pharmacists to pharmacy technicians to 1:8, pharmacies can give 90 days emergency refills of medicines",,,
United States of America,USA,Indiana,Indiana,3/26/20,Healthcare and public health capacity,Increase healthcare workforce,Exception to work law allowed,Staffing requirements for pharmacies suspended,,"Suspension of the requirement of 1:6 of pharmacist to pharmacy technicians and allows 1:8, pharmacies can give 90 days emergency refills of medicines",https://www.in.gov/gov/files/EO_20-12_Further_Directives_Helping_Hoosiers.pdf,,
United States of America,USA,Indiana,Indiana,3/30/20,Healthcare and public health capacity,Adapt procedures for patient management,Simplification of the health journey,Authorize audio-only call for health care services,,The prohibition against audio-only telemedicine (…) is suspended,https://www.in.gov/gov/files/Executive%20Order%2020-13%20Medical%20Surge.pdf,,
United States of America,USA,Indiana,Indiana,3/30/20,Healthcare and public health capacity,Increase healthcare workforce,Exception to work law allowed,Suspension of licensure laws for health care providers,,"individuals who seek to provide health care in the State of Indiana in response of this public health emergency who are not currently licensed to practice in the state may obtain temporary authorization to provide health care services (for students, retired health care professionals and health care professionals that have licenses for other state of the US)",https://www.in.gov/gov/files/Executive%20Order%2020-13%20Medical%20Surge.pdf,,
United States of America,USA,Indiana,Indiana,3/30/20,Healthcare and public health capacity,Increase patient capacity,Increase number of medical institutions,,,"autorization to direct the opening, staffing, equipping and use of a temporary facility for patient care",https://www.in.gov/gov/files/Executive%20Order%2020-13%20Medical%20Surge.pdf,,
United States of America,USA,Indiana,Indiana,4/1/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,,,applies also to vets,https://www.in.gov/gov/files/Executive%20Order%2020-13%20Medical%20Surge.pdf,,
United States of America,USA,Indiana,Indiana,4/2/20,Risk communication,Actively communicate with managers,Recommendations for schools,Recommendations for e-learning,,All K-12 schools shall provide instruction via remote learning for the remainder of the 2019-2020 school year,https://www.in.gov/gov/files/Executive%20Order%2020-16%20Education.pdf,,
United States of America,USA,Indiana,Indiana,4/7/20,Social distancing,Measures for special populations,Measures to protect vulnerable populations,Essential businesses and operations shall implement separate operating hours for high risk customers,,Grocery stores and other retail businesses should limit their hours of operation and consider implementing separate operating hours for the elderly and other vulnerable customers,https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Indiana,Indiana,4/7/20,Social distancing,Measures for special populations,Measures to limit contact to the elderly,Special hours for the elderly to cover their basic needs,,Grocery stores and other retail businesses should limit their hours of operation and consider implementing separate operating hours for the elderly and other vulnerable customers,https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Indiana,Indiana,4/7/20,Social distancing,Special measures for certain establishments,Grocery stores,Limitation on the number of customers to respect social distancing,,Grocery stores and other retail businesses should limit the number of customers in their facility at any given time,https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Indiana,Indiana,4/7/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,"Barber shops, tattoo parlors",,"Fitness and exercise gyms, spas, salons, barber shops, tattoo parlors, and similar facilities shall close",https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Indiana,Indiana,4/7/20,Social distancing,Mass gathering cancellation,Indoor activities,Fitness centers and gyms,,"Fitness and exercise gyms, spas, salons, barber shops, tattoo parlors, and similar facilities shall close",https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Indiana,Indiana,4/7/20,Social distancing,Mass gathering cancellation,Outdoor activities,closure of playgrounds,,closure of playgrounds,https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Indiana,Indiana,4/7/20,Travel restriction,Individual movement restrictions,Movements for non-essential activities forbidden,,,all individuals currently living in the State of Indiana are ordered to stay at home or their place of residence,https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Indiana,Indiana,4/8/20,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Partial,,all other retail businesses not included above may remain open only for online or call-in ordering with delivery or curbside pickup. Only off-premises service,https://www.in.gov/gov/files/Executive%20Order%2020-18%20Cont%20Stay%20at%20Home%20Restaurants%20Govt%20Ops.pdf,,
United States of America,USA,Iowa,Iowa,3/9/20,Resource allocation,Activate or establish emergency response,Declare state of emergency,,,,https://governor.iowa.gov/sites/default/files/documents/202003100818.pdf,,
United States of America,USA,Iowa,Iowa,3/9/20,Healthcare and public health capacity,Increase in medical supplies and equipment,Increase delivery capacity for medical supplies,Ease hour restrictions for motor carriers and drivers who deliver medical supplies,,"suspension of the provisions regarding the hours of service of motor carriers and and drivers of commercial motor vehicles, while transporting vaccines, antivirals, prescription drugs, protective equipment, and other necessary medical assets",https://governor.iowa.gov/sites/default/files/documents/202003100818.pdf,,
United States of America,USA,Iowa,Iowa,3/13/20,Resource allocation,Measures to ensure security of supply,Increase delivery capacity for necessity goods,Ease hour restrictions for motor carriers and drivers who necessity goods,,"measures to facilitate the transportation of oversize and overweight loads of food, medical supplies, cleaning products, and other household goods",https://governor.iowa.gov/sites/default/files/documents/20200313162458165.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Partial,,only delivery or carry-out and drive-through,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Social distancing,Mass gathering cancellation,Indoor activities,"Bars, clubs, casinos",,"closure of fitness centers, health clubs, health spas, gyms, acquatic centers, casinos and gaming facilities",https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Social distancing,Small gathering cancellation,Limit up to 10 persons,,,,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Social distancing,Mass gathering cancellation,Closure of adult daycare facilities,Closure of senior citizen centers and adult daycare facilities,,senior citizen centers and adult daycare facilities are closed,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Healthcare and public health capacity,Adapt procedures for patient management,Simplification of the health journey,Authorize telemedicine,,measures to enhance telehealth,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Healthcare and public health capacity,Increase healthcare workforce,Mobilization of domestic resources for health,Reactivate license/renew license of healthcare workers,,medical professionals whose license expired in the last 5 years can operate in response to the health crisis,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Social distancing,Special measures for certain establishments,Decongestion of administrative institutions,Extension of driving licence,,suspension of expiration of driver's licenses,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/17/20,Social distancing,Mass gathering cancellation,Indoor activities,Fitness centers and gyms,,"closure of fitness centers, health clubs, health spas, gyms, acquatic centers, casinos and gaming facilities",https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
United States of America,USA,Iowa,Iowa,3/19/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Measures to protect renters and house owners,,measures to help renters and house owners,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.19.pdf,,
United States of America,USA,Iowa,Iowa,3/19/20,Social distancing,Special measures for certain establishments,Alcohol sellers,Alcoholic beverages can be delivered,,class C liquors can be sold off-premises,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.19.pdf,,
United States of America,USA,Iowa,Iowa,3/22/20,Healthcare and public health capacity,Increase healthcare workforce,Exception to work law allowed,Suspension of licensure laws for pharmacists,,"medical licenses for physiscians' assistants, licenses for pharmacists whose license is expired, licenses for pharmacy technician trainees",https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.22.pdf,,
United States of America,USA,Iowa,Iowa,3/23/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,"Closure of salons, medical spas, barbershops, tattoo extalishments, tanning facilities, massage therapy extablishments, and swimming pools",,"closure of salons, medical spas, barbershops, tattoo extalishments, tanning facilities, massage therapy extablishments, and swimming pools",https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.22.pdf,,
United States of America,USA,Iowa,Iowa,3/26/20,Social distancing,Mass gathering cancellation,Cultural places and events,,,,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.26.pdf,,
United States of America,USA,Iowa,Iowa,3/26/20,"Case identification, contact tracing and related measures",Enhance detection system,Targeted testing,Health checks for healthcare professionals,,"screening of all staff of nursing facilities, hospitals, residential care facilities and similar at the beginning of their shift for fever or respiratory symptoms, absence of shortness of breath, new or change in cough, sore throat, take employees temperatrue and take any preventive measures based on that screening to prevent spread of tCOvid-19 within healthcare facilities",https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.26.pdf,,
United States of America,USA,Iowa,Iowa,3/27/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,"Closure of florists, jewelry stores, book stores, clothing stores, luggage stores, cosmetic, beauty and perfume stores, and furniture stores",,"closure of florists, jewelry stores, book stores, clothing stores, luggage stores, cosmetic, beauty and perfume stores, and furniture stores",https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.26.pdf,,
United States of America,USA,Iowa,Iowa,3/28/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,All non-essential surgeries that utilize PPE,,all nonessential or elective surgeries and procedures that utilize PPE must not be conducted,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.26.pdf,,
United States of America,USA,Iowa,Iowa,3/31/20,Social distancing,Special measures for certain establishments,Alcohol sellers,Alcoholic beverages can be delivered,,mixed drinks and cocktails can be sold to take away,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.31.pdf,,
United States of America,USA,Iowa,Iowa,4/2/20,Social distancing,Closure of educational institutions,Complete closure of kindergartens,,,all public schools and nonpublic schools shall remain closed,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Disaster%20Proclamation%20-%202020.04.02.pdf,,
United States of America,USA,Iowa,Iowa,4/2/20,Social distancing,Closure of educational institutions,Complete closure of primary and secondary schools,,,,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Disaster%20Proclamation%20-%202020.04.02.pdf,,
United States of America,USA,Iowa,Iowa,4/7/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,"Closure of malls, cigarette, tobacco and vaping stores, toy, gaming, music, movie stores",,"closure of malls, cigarette, tobacco and vaping stores, toy, gaming, music, movie stores,",https://eoc.iowa.gov/public/Public%20Health%20Proclamation%20-%202020.04.06.pdf,,
United States of America,USA,Kansas,Kansas,3/12/20,Resource allocation,Activate or establish emergency response,Declare state of emergency,,,,https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Social distancing,Mass gathering cancellation,Limit up to 50 persons,,,,https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Social distancing,Mass gathering cancellation,Cultural places and events,,,,https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Social distancing,Mass gathering cancellation,Outdoor activities,closure of pools,,closure of pools,https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Social distancing,Mass gathering cancellation,Indoor activities,,,,https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Risk communication,Educate and actively communicate with the public,Promote social distancing measures,Promote the 2m distance,,all public gatherings who bring 50 or fewer people together should preserve distance of 6 feet between people,https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Resource allocation,Measures to ensure security of supply,Insure access to gas/electricity/water/telecommunications,Flexibility in bill payment for vulnerable customers,,"suspend the practice of disconnecting services (electrical, natural gas, water, and telecommunication utilities) to citizens for non-payment",https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Social distancing,Closure of educational institutions,Complete closure of kindergartens,,,"closure of all school buildings with more than 10 students, instructors and staff",https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-07-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Social distancing,Closure of educational institutions,Complete closure of primary and secondary schools,,,"closure of all school buildings with more than 10 students, instructors and staff",https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-07-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/17/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Suspend evictions and foreclosures,,suspend the initiation of any mortgage foreclosure efforts or judicial proceedings and any commercial or residential eviction efforts or judicial proceedings,https://governor.kansas.gov/wp-content/uploads/2020/03/20-06-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/20/20,Risk communication,Actively communicate with healthcare professionals,Recommendations to physicians,Encourage telemedicine,,all physicians are encouraged to utilize telemedicine,https://governor.kansas.gov/wp-content/uploads/2020/03/E.O.-20-08.pdf,,
United States of America,USA,Kansas,Kansas,3/20/20,Resource allocation,Measures to ensure security of supply,Increase delivery capacity for medical supplies,Ease restrictions for transporters,,motor carriers and persons operating commerical vehicles actively partecipating in covid-19 relief and restoration efforts may haul up to 10% more than their licensed weight. Registration and fuel tax permits are suspended,https://governor.kansas.gov/wp-content/uploads/2020/03/E.O.-20-09.pdf,,
United States of America,USA,Kansas,Kansas,3/23/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Suspend evictions and foreclosures,,Measures to protect renters and house owners,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-10-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/23/20,Social distancing,Special measures for certain establishments,Decongestion of administrative institutions,Extension of driving licence,,postponement of deadlines for driver licenses requests and vehicle registration,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-12-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/23/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Tax relief measures,,allowing certain deferred tax deadlines and payments,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-13-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/25/20,Social distancing,Small gathering cancellation,Limit up to 10 persons,,,,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-14-Executed.pdf,,
United States of America,USA,Kansas,Kansas,3/30/20,Travel restriction,National lockdown,Stay-at-home Order,,,all individuals within the state of Kansas are directed to stay in their homes or residences unless performing an essential activity,https://governor.kansas.gov/wp-content/uploads/2020/03/EO20-16.pdf,,
United States of America,USA,Kansas,Kansas,3/31/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Government support the obtention of unemployment benefits,,Temporary relief from certain unemployment insurance requirements in response to the COVID-19 pandemic.,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-17-Executed.pdf,,
